Ping target :
2022-13-02/25/22 19:13:38
-----<Check mode>-------
38.96271 39 38.112477
38.113479 39 38.144748
38.144748 39 38.190750
38.191750 39 38.234761
38.235762 39 38.261026
38.261026 39 38.292955
38.292955 39 38.308929
38.309660 39 38.332994
38.332994 39 38.364658
38.365659 39 38.388930
38.389944 39 38.417223
38.417223 39 38.441532
38.442532 39 38.469306
38.469306 39 38.489668
38.489668 39 38.520863
38.521876 39 38.544604
38.545579 39 38.569268
38.570270 39 38.596774
38.597776 39 38.629291
38.630293 39 38.661114
38.661114 39 38.685087
38.686101 39 38.717507
38.717507 39 38.748533
38.749530 39 38.773450
38.774462 39 38.795412
38.795412 39 38.829694
38.830667 39 38.861804
38.861804 39 38.888642
38.889643 39 38.909275
38.909275 39 38.937812
38.938814 40 38.965277
38.966275 40 38.985248
38.985248 40 39.5270
39.6278 40 39.21202
39.22212 40 39.48887
39.49899 40 39.72949
39.73964 40 39.89120
39.90132 40 39.116931
39.117942 40 39.133538
39.133538 40 39.161407
39.162421 40 39.209291
39.210304 40 39.241067
39.241706 40 39.265621
39.265621 40 39.301145
39.302142 40 39.329165
39.330180 40 39.349873
39.349873 40 39.368732
39.369511 40 39.389321
39.390232 40 39.409925
39.410940 40 39.432991
39.432991 40 39.453628
39.453628 40 39.476668
39.476668 40 39.508927
39.508927 40 39.529509
39.529509 40 39.561757
39.562506 40 39.588926
39.588926 40 39.609599
39.609599 40 39.632154
39.633168 40 39.653359
39.654319 40 39.676795
39.677803 40 39.706059
39.706059 40 39.737569
39.737569 40 39.769540
39.769540 40 39.793525
39.794330 40 39.820895
39.821882 40 39.845704
39.846712 40 39.869253
39.870265 40 39.889747
39.889747 40 39.925237
39.926124 41 39.954340
39.954340 41 39.985059
39.986071 41 40.5069
40.6055 41 40.49586
40.49586 41 40.77486
40.77486 41 40.101377
40.102376 41 40.125551
40.125551 41 40.152980
40.153990 41 40.184926
40.185939 41 40.206360
40.206360 41 40.228962
40.229974 41 40.253130
40.254143 41 40.289680
40.290681 41 40.315376
40.316375 41 40.337635
40.338648 41 40.365189
40.366188 41 40.396979
40.397981 41 40.429313
40.430327 41 40.457628
40.457628 41 40.473076
40.473882 41 40.493284
40.494296 41 40.517011
40.518013 41 40.537072
40.537072 41 40.561933
40.561933 41 40.596366
40.597366 41 40.617349
40.618360 41 40.633852
40.634482 41 40.657729
40.657729 41 40.681908
40.681908 41 40.705789
40.705789 41 40.729561
40.729561 41 40.748940
40.749953 41 40.773184
40.773184 41 40.801052
40.802064 41 40.825927
40.826811 41 40.853188
40.853188 41 40.873924
40.874928 41 40.905539
40.906535 42 40.942475
40.942475 42 40.972290
40.973301 42 41.1304
41.2319 42 41.25314
41.25314 42 41.49418
41.50420 42 41.73140
41.73140 42 41.96637
41.96637 42 41.121158
41.122171 42 41.145463
41.145463 42 41.173765
41.173765 42 41.202324
41.202324 42 41.229296
41.230302 42 41.256899
41.257724 42 41.285156
41.285156 42 41.313336
41.314313 42 41.338011
41.338011 42 41.365044
41.365044 42 41.384915
41.384915 42 41.413417
41.414302 42 41.440652
41.441664 42 41.460858
41.460858 42 41.477363
41.477363 42 41.500882
41.501406 42 41.529286
41.529286 42 41.549311
41.549311 42 41.581639
41.581639 42 41.605867
41.605867 42 41.629177
41.629177 42 41.652990
41.652990 42 41.681195
41.682198 42 41.705420
41.705420 42 41.734254
41.734254 42 41.761154
41.762168 42 41.785402
41.785402 42 41.809284
41.810296 42 41.836740
41.837568 42 41.861101
41.861564 42 41.889474
41.890486 42 41.905480
41.905480 42 41.941299
41.942155 43 41.965688
41.965688 43 41.993320
41.994263 43 42.17465
42.18472 43 42.37285
42.38110 43 42.61539
42.62553 43 42.85349
42.86250 43 42.117480
42.117480 43 42.149150
42.150162 43 42.181574
42.182130 43 42.217883
42.217883 43 42.249563
42.250536 43 42.281321
42.281321 43 42.305513
42.305513 43 42.337486
42.338498 43 42.357179
42.358004 43 42.388811
42.389645 43 42.417430
42.417430 43 42.444442
42.445458 43 42.469668
42.469668 43 42.492566
42.493566 43 42.521674
42.521674 43 42.557023
42.558024 43 42.584820
42.584820 43 42.605072
42.605562 43 42.625280
42.626111 43 42.658494
42.658494 43 42.689192
42.690204 43 42.708871
42.709883 43 42.732579
42.733593 43 42.762302
42.762302 43 42.797050
42.798042 43 42.817174
42.818186 43 42.837396
42.837396 43 42.861534
42.862546 43 42.881023
42.882036 43 42.905921
42.905921 43 42.926966
42.926966 44 42.949246
Attempt No. : 185 Avg. Ping : 25.687276
Error : 1.050754 ~ 1.094079

-----<Accurate mode>-------
43.915522 45 43.945262
43.945262 45 43.977375

44.919748 46 44.941801
44.941801 46 44.969044

45.921601 47 45.939587
45.939587 47 45.966168

46.917957 48 46.941423
46.941423 48 46.980932

47.919840 49 47.949327
47.949327 49 47.965005

48.920835 50 48.947919
48.947919 50 48.978443

49.921067 51 49.952221
49.952221 51 49.979809

50.919643 52 50.941904
50.941904 52 50.974009

51.916223 53 51.945568
51.945568 53 51.977610

52.919329 54 52.941088
52.941088 54 52.969316

53.919294 55 53.941030
53.941030 55 53.965509

54.917741 56 54.937505
54.937505 56 54.961335

55.917049 57 55.937583
55.937583 57 55.961502

56.915535 57 56.933518
56.933518 58 56.962578

57.913359 58 57.933459
57.933459 59 57.966385

58.911246 59 58.933060
58.933060 0 58.961366

59.915592 1 59.941764
59.941764 1 59.973026


Final Error : 1.062495 ~ 1.094079
Error 31.58ms
1.078287
